paradigm,A,L,dvi,n_units,n_animals
feature_oddball,VISa,L2/3,0.3203883495145631,37,1
feature_oddball,VISa,L4,-0.09831707064349951,44,1
feature_oddball,VISa,L5,0.0739851420970161,145,1
feature_oddball,VISl,L2/3,0.5615866388308977,29,3
feature_oddball,VISl,L4,0.5656433703461791,63,3
feature_oddball,VISl,L5,0.47825467597610305,102,3
feature_oddball,VISl,L6,0.3437047310851852,60,3
feature_oddball,VISlm,L2/3,0.5386702849389416,77,5
feature_oddball,VISlm,L4,0.5155425219941349,73,5
feature_oddball,VISlm,L5,0.4987974890770367,160,5
feature_oddball,VISlm,L6,0.3877627981521638,93,5
feature_oddball,VISp,L2/3,0.875843609012562,114,9
feature_oddball,VISp,L4,0.605342892502027,145,9
feature_oddball,VISp,L5,0.46231929026906204,291,9
feature_oddball,VISp,L6,0.36730539473321344,194,9
sequence,VISa,L2/3,0.24528301809852263,43,2
sequence,VISa,L4,-0.08998995244141861,26,1
sequence,VISa,L5,0.23415277790170602,68,1
sequence,VISl,L2/3,0.30726256926164913,17,1
sequence,VISl,L4,-0.579219341012426,10,1
sequence,VISl,L5,0.16610521925366575,40,1
sequence,VISl,L6,0.2072337550144258,32,1
sequence,VISlm,L2/3,0.22265109187260662,54,4
sequence,VISlm,L4,0.1556130701870781,49,4
sequence,VISlm,L5,0.19539347406335186,111,4
sequence,VISlm,L6,0.22228060952500875,79,4
sequence,VISp,L2/3,0.3234200741495592,73,6
sequence,VISp,L4,0.14172009727014775,131,7
sequence,VISp,L5,0.29105143195949124,233,7
sequence,VISp,L6,0.33631284903706804,145,7
sequence,VISrl,L2/3,0.014035273618221433,2,1
sequence,VISrl,L4,-0.6686046507960848,8,1
sequence,VISrl,L5,0.10147441455605369,63,2
sequence,VISrl,L6,0.24466666666214712,13,1
duration,VISl,L2/3,0.3094601711324997,22,2
duration,VISl,L4,0.43928611137428913,32,2
duration,VISl,L5,0.2835743272965889,88,2
duration,VISl,L6,0.17306444634069107,59,2
duration,VISlm,L2/3,0.3249593984325512,26,4
duration,VISlm,L4,0.2731079508550387,36,4
duration,VISlm,L5,0.43060004509781397,79,4
duration,VISlm,L6,0.20400015594964976,55,4
duration,VISp,L2/3,0.3159527581722989,92,6
duration,VISp,L4,0.4046429383008865,106,6
duration,VISp,L5,0.3420985737006953,90,6
duration,VISp,L6,0.17993399895136397,59,6
