subject,date,paradigm,n_units,gb,aid,ccf,ccf_xyz,n_vis_chans
820454,2025-11-04-14-59-22,sensorimotor,4126,14.3,915bb67f-3d3e-45b1-86e5-a6fcf3bf8046,True,True,317
820454,2025-11-05-15-21-15,standard_oddball,4275,14.4,f7057120-fc07-447c-80ba-bbbc425072b0,True,True,338
820454,2025-11-06-16-00-27,sequence,4009,14.2,013eb796-bbe5-4d02-82dd-6e2e5ce7034f,True,True,303
820454,2025-11-07-10-54-23,duration,3738,13.6,51c29ef1-339d-449e-b1e5-c0b59f4d272e,True,True,328
820459,2025-11-10-15-07-13,sensorimotor,4346,14.6,e3cbee16-232a-4874-8b7e-cfbaebdfeeaf,True,True,370
820459,2025-11-12-14-34-33,sequence,3170,11.5,cfe8eaaf-2f55-4147-aa82-1103ad09274c,True,True,395
830794,2026-01-26-12-02-05,sensorimotor,3966,14.2,0c67a84f-7da3-44b2-b707-72ab376a9034,True,True,276
830794,2026-01-27-11-25-31,standard_oddball,3018,11.4,a23eba88-5d08-4e4b-89e1-a2a10fd143b5,True,True,325
830794,2026-01-28-11-01-44,sequence,2951,11.3,6068eec9-d614-471c-aa33-0ab27dc66475,True,True,310
830794,2026-01-29-11-12-57,duration,3125,12.8,b383b4ff-a2b9-4497-8c8f-9f77de89e1b0,True,True,284
830795,2026-02-23-15-03-59,sensorimotor,3464,13.4,3f7f6abd-de5e-4e78-9473-efd672896ac4,True,True,269
830795,2026-02-24-15-08-59,standard_oddball,2814,12.4,1a3aac78-34f5-44c4-b644-7c16bc313ceb,True,True,283
830795,2026-02-25-16-03-31,sequence,2314,10.3,4095a089-8cb6-4101-821c-9d93e2c2dee7,True,True,243
830795,2026-02-26-16-01-33,duration,2225,10.1,c9024a36-e476-4ffc-9e12-666e6ed3aec7,True,True,230
830846,2026-03-09-10-32-54,sequence,3550,13.7,03973a42-cf55-476f-80d7-85bc402fa57b,True,True,290
830846,2026-03-10-10-17-25,duration,3834,13.9,5996b247-cf6a-4ee1-8c21-3cc6c790c2b5,True,True,303
830846,2026-03-11-10-19-32,standard_oddball,3355,13.1,680d1c0c-e338-4d0b-ba29-4329436d2ae2,True,True,320
830846,2026-03-12-11-09-13,sensorimotor,2943,12.6,f2b15614-c07b-4187-9ace-f73b6e55005e,True,True,299
830847,2026-03-09-16-23-49,sequence,3228,13.1,826226c3-22c9-4306-9aa7-49d71e683e17,True,True,300
